"Window","Previous Perspective","Shift+Ctrl+F8","In Windows"
"C/C++ Source","Add Block Comment","Shift+Ctrl+/","C/C++ Editor"
"C/C++ Source","Forward","Alt+Right","In Macro Expansion Hover"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Makefile Source","Open declaration","Alt+G","Makefile Editor"
"Text Editing","To Lower Case","Shift+Ctrl+Y","Editing Text"
"C/C++ Source","Go to Previous Member","Shift+Ctrl+Up","C/C++ Editor"
"Edit","Select Previous C/C++ Element","Shift+Alt+Left","C/C++ Editor"
"Edit","Select Next C/C++ Element","Shift+Alt+Right","C/C++ Editor"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"Reverse Debugging Commands","Reverse Step Into","Shift+F5","Debugging C/C++"
"C/C++ Source","Open Declaration","Alt+G","In Macro Expansion Hover"
"Navigate","Open Type Hierarchy","F4","In C/C++ Views"
"C/C++ Source","Surround With Quick Menu","Shift+Alt+Z","C/C++ Editor"
"Navigate","Open Include Browser","Ctrl+Alt+I","In C/C++ Views"
"Navigate","Show In...","Shift+Alt+W","In Windows"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Run/Debug","EOF","Ctrl+D","In I/O Console"
"Makefile Source","Comment","Ctrl+/","Makefile Editor"
"Views","Show View (Error Log)","Shift+Alt+Q L","In Windows"
"File","Close","Ctrl+F4","In Windows"
"Run/Debug","Debug","F11","In Windows"
"C/C++ Source","Sort Lines","Ctrl+Alt+S","C/C++ Editor"
"Project","Make Target Build","Shift+F9","In Windows"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"Views","Show View (Synchronize)","Shift+Alt+Q Y","In Windows"
"C/C++ Source","References","Shift+Ctrl+G","C/C++ Editor"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"File","Refresh","F5","In Windows"
"Window","Activate Editor","F12","In Windows"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"Navigate","Expand All","Shift+Ctrl+Numpad_Multiply","In Windows"
"Navigate","Forward History","Alt+Right","In Windows"
"C/C++ Source","Back","Alt+Left","In Macro Expansion Hover"
"Run/Debug","Step Over","F6","Debugging"
"Run/Debug","Step Return","F7","Debugging"
"File","Close","Ctrl+W","In Windows"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"File","New menu","Shift+Alt+N","In Windows"
"Refactor - C++","Extract Local Variable - Refactoring ","Shift+Alt+L","C/C++ Editor"
"Edit","Shift Left","Shift+Tab","C/C++ Editor"
"C/C++ Source","Go to Next Member","Shift+Ctrl+Down","C/C++ Editor"
"Refactor - C++","Toggle Function - Refactoring ","Shift+Alt+T","C/C++ Editor"
"Views","Show View (Problems)","Shift+Alt+Q X","In Windows"
"Navigate","Collapse All","Shift+Ctrl+Numpad_Divide","In Windows"
"Text Editing","Reset Structure","Shift+Ctrl+Numpad_Multiply","Editing Text"
"Text Editing","Select Next Word","Shift+Ctrl+Right","Editing Text"
"File","Close All","Shift+Ctrl+F4","In Windows"
"Navigate","Previous Page","Shift+Alt+F7","In Windows"
"View","Zoom Out","Ctrl+-","In Windows"
"Window","Toggle Split Editor (Vertical)","Ctrl+{","In Windows"
"Refactor - C++","Rename - Refactoring ","Shift+Alt+R","In C/C++ Views"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Navigate","Next","Ctrl+.","In Windows"
"File","Properties","Alt+Enter","In Windows"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"Window","Previous View","Shift+Ctrl+F7","In Windows"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Refactor - C++","Extract Constant - Refactoring ","Alt+C","C/C++ Editor"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"Edit","Redo","Shift+Ctrl+Z","In Dialogs and Windows"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Window","Show Key Assist","Shift+Ctrl+L","In Dialogs and Windows"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Views","Show View (History)","Shift+Alt+Q Z","In Windows"
"Run/Debug","Step Into","F5","Debugging"
"Views","Show View (Outline)","Shift+Alt+Q O","In Windows"
"Navigate","Open Type Hierarchy","F4","C/C++ Editor"
"Run/Debug","Previous Page of Memory","Shift+Ctrl+,","In Table Memory Rendering"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Window","Toggle Split Editor (Horizontal)","Ctrl+_","In Windows"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging C/C++"
"Edit","Find Previous","Shift+Ctrl+K","Editing Text"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","C/C++ Editor"
"Reverse Debugging Commands","Reverse Resume","Shift+F8","Debugging C/C++"
"Run/Debug","Go to Address...","Ctrl+G","In Disassembly"
"Window","Next Editor","Ctrl+F6","In Windows"
"Makefile Source","Uncomment","Ctrl+\","Makefile Editor"
"Window","Quick Access","Ctrl+3","In Windows"
"C/C++ Source","Declaration","Ctrl+G","C/C++ Editor"
"C/C++ Source","Explore Macro Expansion","Ctrl+=","C/C++ Editor"
"File","New","Ctrl+N","In Windows"
"Views","Show View (Cheat Sheets)","Shift+Alt+Q H","In Windows"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Navigate","Open Include Browser","Ctrl+Alt+I","C/C++ Editor"
"C/C++ Source","Quick Type Hierarchy","Ctrl+T","C/C++ Editor"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Text Editing","Select Line End","Shift+End","Editing Text"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Run/Debug","Resume","F8","Debugging"
"Views","Show View (Variables)","Shift+Alt+Q V","In Windows"
"Edit","Restore Last C/C++ Selection","Shift+Alt+Down","C/C++ Editor"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"C/C++ Source","Organize Includes","Shift+Ctrl+O","C/C++ Editor"
"Navigate","Backward History","Alt+Left","In Windows"
"C/C++ Source","Go to Matching Bracket","Shift+Ctrl+P","C/C++ Editor"
"C/C++ Source","Toggle Source/Header","Ctrl+Tab","C/C++ Editor"
"Window","Show System Menu","Alt+-","In Windows"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Edit","Context Information","Shift+Ctrl+Space","In Dialogs and Windows"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"Text Editing","To Upper Case","Shift+Ctrl+X","Editing Text"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"C/C++ Source","Toggle Mark Occurrences","Shift+Alt+O","C/C++ Editor"
"Edit","Incremental Find Reverse","Shift+Ctrl+J","Editing Text"
"Views","Show View (Breakpoints)","Shift+Alt+Q B","In Windows"
"C/C++ Source","Open Element","Shift+Ctrl+T","In C/C++ Views"
"Edit","Word Completion","Alt+/","Editing Text"
"C/C++ Source","Open Declaration","Alt+G","In C/C++ Views"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Text Editing","Delete to End of Line","Shift+Ctrl+Delete","Editing Text"
"Reverse Debugging Commands","Uncall","Shift+F7","Debugging C/C++"
"File","Close All","Shift+Ctrl+W","In Windows"
"Window","Show Contributing Plug-in","Shift+Alt+F3","In Dialogs and Windows"
"Text Editing","Insert Line Above Current Line","Shift+Ctrl+Enter","Editing Text"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Window","Previous Editor","Shift+Ctrl+F6","In Windows"
"File","Save All","Shift+Ctrl+S","In Windows"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"C/C++ Source","Add Include","Shift+Ctrl+N","C/C++ Editor"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"Text Editing","Text End","Ctrl+End","Editing Text"
"Refactor - C++","Rename - Refactoring ","Shift+Alt+R","C/C++ Editor"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"C/C++ Source","Show outline","Ctrl+O","C/C++ Editor"
"Run/Debug","Go to Program Counter","Home","In Disassembly"
"C/C++ Source","Comment/Uncomment","Ctrl+/","C/C++ Editor"
"File","Print","Ctrl+P","In Windows"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","In C/C++ Views"
